raw_file	exp_conditions
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R1.raw	CT=mixture;QY=12500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R2.raw	CT=mixture;QY=12500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_12500amol_R3.raw	CT=mixture;QY=12500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R1.raw	CT=mixture;QY=125 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R2.raw	CT=mixture;QY=125 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_125amol_R3.raw	CT=mixture;QY=125 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R1.raw	CT=mixture;QY=25000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R2.raw	CT=mixture;QY=25000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_25000amol_R3.raw	CT=mixture;QY=25000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R1.raw	CT=mixture;QY=2500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R2.raw	CT=mixture;QY=2500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_2500amol_R3.raw	CT=mixture;QY=2500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R1.raw	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R2.raw	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_250amol_R3.raw	CT=mixture;QY=250 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R1.raw	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R2.raw	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50000amol_R3.raw	CT=mixture;QY=50000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R1.raw	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R2.raw	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_5000amol_R3.raw	CT=mixture;QY=5000 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R1.raw	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R2.raw	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_500amol_R3.raw	CT=mixture;QY=500 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R1.raw	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R2.raw	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001819/UPS1_50amol_R3.raw	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
