Protein.IDs	Majority.protein.IDs	Fasta.headers	50000amol-25000amol_PValue	25000amol-12500amol_PValue	12500amol-5000amol_PValue	5000amol-2500amol_PValue	2500amol-500amol_PValue	500amol-250amol_PValue	250amol-125amol_PValue	125amol-50amol_PValue	50000amol-5000amol_PValue	50000amol-25000amol_AdjPVal	25000amol-12500amol_AdjPVal	12500amol-5000amol_AdjPVal	5000amol-2500amol_AdjPVal	2500amol-500amol_AdjPVal	500amol-250amol_AdjPVal	250amol-125amol_AdjPVal	125amol-50amol_AdjPVal	50000amol-5000amol_AdjPVal	50000amol-25000amol_log2FoldChange	25000amol-12500amol_log2FoldChange	12500amol-5000amol_log2FoldChange	5000amol-2500amol_log2FoldChange	2500amol-500amol_log2FoldChange	500amol-250amol_log2FoldChange	250amol-125amol_log2FoldChange	125amol-50amol_log2FoldChange	50000amol-5000amol_log2FoldChange	featureAvg	Sample1_Tr_1	Sample1_Tr_2	Sample1_Tr_3	Sample2_Tr_1	Sample2_Tr_2	Sample2_Tr_3	Sample3_Tr_1	Sample3_Tr_2	Sample3_Tr_3	Sample4_Tr_1	Sample4_Tr_2	Sample4_Tr_3	Sample5_Tr_1	Sample5_Tr_2	Sample5_Tr_3	Sample6_Tr_1	Sample6_Tr_2	Sample6_Tr_3	Sample7_Tr_1	Sample7_Tr_2	Sample7_Tr_3	Sample8_Tr_1	Sample8_Tr_2	Sample8_Tr_3	Sample9_Tr_1	Sample9_Tr_2	Sample9_Tr_3
CON__P00761	CON__P00761		0.20309519718827	0.0510747229000682	0.917165478098258	0.692480904611403	0.094311332785484	0.369444891077548	0.0380997835514133	0.00335430768682223	0.0022843610388971	0.545668650513247	0.569213498812635	0.993362783940045	0.997935466225821	0.467514749665185	0.916636632358522	0.434805812070521	0.0320052032029792	0.029358269648048	0.129303711743731	0.203963905540039	0.0103483670991622	0.0394245755383302	0.172613426010972	-0.0902210551673086	-0.218245719617794	0.327219281883533	0.343615984382932	29.086701317199	29.0894965082745	29.080197675074	29.1012430811329	29.2196271541405	29.179709623795	29.1298417049558	28.9698840238209	29.5154223236961	29.3975226335845	28.9502416853784	29.0339905009226	29.1373862502679	28.9323573275182	28.9829134788589	28.9591705176608	29.4147192640318	29.4038532444199	29.452167607881	29.0914399061026	29.0639397680567	29.0845124890246	28.8349383029746	28.8886996386637	28.8801402168977	28.7954141234469	28.8607677892582	28.8913387245356
CON__P01966	CON__P01966		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6749973651701	NA	NA	NA	NA	NA	NA	NA	24.9995083898332	24.8392283971775	24.3735831348841	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P02768ups|ALBU_HUMAN_UPS;CON__P02768-1;CON__P02769	sp|P02768ups|ALBU_HUMAN_UPS;CON__P02768-1	sp|P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human);	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.0985852137157	27.1950725260298	27.2036850974362	NA	NA	NA	28.3179484359112	28.696241153916	28.5126938127264	23.4694858183583	23.3219611151784	23.383636799548	NA	NA	NA	30.1181780697841	30.1038710556514	30.0697123518344	24.7649140994768	25.4209509396928	25.6122867439134	NA	19.4352022531477	19.6715894395276	NA	NA	NA
CON__P04258	CON__P04258		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4567354146974	22.5193175876911	NA	21.8417255731596	22.0293141909627	NA	NA	NA	22.5842845004771	23.1084976571457	NA	NA	NA	NA	NA	NA	23.0515886649402	NA	22.5294810747361	22.4101780377287	NA	NA	NA	NA	NA	NA
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	;	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.9299807313081	NA	NA	NA	NA	NA	25.2139342359898	24.4254080107642	24.6059162234267	NA	NA	NA	NA	NA	21.4320137278771	NA	21.0509247463639	20.9991384536873
CON__P07477	CON__P07477		0.0326911244407131	0.404582412261071	0.939772163165104	0.911266684449782	0.0503508665866415	0.468945840195755	0.0507503184782113	0.967317623268094	0.0604287074911053	0.233893199606752	0.829863121427449	0.993362783940045	0.997935466225821	0.360242282588961	0.916636632358522	0.449296648719167	0.982896677229952	0.203242313158384	0.634613266227806	-0.232231548612674	-0.0147208838151691	0.0217147869214713	0.406105848357569	0.142289132881299	-0.405312903306204	-0.0112887381007951	0.387660833799963	23.0150502711401	23.2523709229835	22.9426705620657	23.1757249649523	22.8207110912146	23.3361992535418	22.7636281621282	22.8913572680545	NA	NA	23.0333530934911	23.0817545264863	23.2346771207052	22.2585947862948	22.6057580121157	22.8402469985555	23.5920637012127	23.3995001153505	23.5863477862837	23.0772786274292	23.3679969573767	22.9696535166411	22.3671171595846	23.0462687417297	22.7180812942956	22.984801573729	NA	NA
CON__P13645;CON__P02535-1;CON__A2A4G1;CON__Q7Z3Y7;CON__P08779;CON__P02533;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Z0;CON__P19012;CON__P19001;CON__Q7Z3Y9;CON__Q9Z2K1;CON__P08730-1;CON__Q3ZAW8;CON__Q9QWL7;CON__Q99456;CON__Q04695;CON__P08727	CON__P13645		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.7028203212023	24.3842957750497	24.0787124265172	NA	NA	23.3532631505045	NA	NA	NA	NA	NA	NA
CON__P35900;CON__Q9D312	CON__P35900;CON__Q9D312	;	0.0520461445464358	0.662112268780721	0.251441817211345	0.760715708185366	0.293942619873215	0.245985549159409	0.299640145804228	0.00732265464155648	0.0163724775887811	0.291290518671181	0.928940423701785	0.96518343344805	0.997935466225821	0.689176277675714	0.908215936237943	0.726055040446798	0.0526732158584224	0.0903272969138011	0.717718254892432	-0.153223318843835	0.456927726345317	0.130594440180342	-0.416852356999659	0.413612403301066	-0.368335347735297	-1.04303776600067	1.02142266239391	24.1303381011289	23.601615748674	23.6854939540523	25.2582856679086	24.0269022914941	23.9534924078789	23.9171600759866	23.8260953395816	24.1844231952756	24.0752068792462	23.6504233402429	23.5381292404624	NA	23.5765784537153	23.6156018002826	23.6003684781558	24.6603598221881	24.7077252095402	24.8707951470524	23.710302813442	23.739438647624	NA	24.0570543664835	23.9047206072014	24.071610968372	24.1728748874591	25.1244334160994	25.7293597698031
CON__Q14CN4-1	CON__Q14CN4-1		0.395382267497776	0.0944251046849538	0.476393462816791	0.720251402797808	0.0777440311603533	0.10212588811626	0.038844323268548	0.841793076886202	0.00406389797386384	0.676449517021453	0.606768728253314	0.993362783940045	0.997935466225821	0.428209187502263	0.854012247523624	0.434805812070521	0.919219835516083	0.0424301806269229	0.114904820679932	0.2345428249421	0.0959169704005021	0.0535769824258914	-0.304662007738649	0.280125222183194	-0.332567727678136	-0.037714077500663	0.445364616022534	23.3664998648629	23.4018451141272	23.1337511774935	23.2783836635247	23.6578548590448	23.4898362033799	23.2891205739423	23.2592559335002	23.7061975166954	23.5521549797761	23.0896631878474	23.1540022099301	NA	23.2301242504933	23.0626147183951	NA	23.6307870287483	23.7316919221507	23.4998439411125	23.3050775848422	23.0701045620364	23.1510468970653	23.5102658069729	NA	23.3427236062819	NA	NA	23.516651289623
CON__Q2KIS7	CON__Q2KIS7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7334308075049	NA	NA	NA	NA	NA	22.7022707794481	23.9176153715503	23.3562219742226	NA	NA	NA	NA	NA	NA	25.3874546743121	25.3592082615829	24.9375523441518	NA	NA	NA	NA	NA	NA	NA	NA	NA
