Protein.IDs	Majority.protein.IDs	Fasta.headers	Sample.1_Tr_1	Sample.1_Tr_2	Sample.1_Tr_3	Sample.2_Tr_1	Sample.2_Tr_2	Sample.2_Tr_3	Sample.3_Tr_1	Sample.3_Tr_2	Sample.3_Tr_3	Sample.4_Tr_1	Sample.4_Tr_2	Sample.4_Tr_3	Sample.5_Tr_1	Sample.5_Tr_2	Sample.5_Tr_3	Sample.6_Tr_1	Sample.6_Tr_2	Sample.6_Tr_3	Sample.7_Tr_1	Sample.7_Tr_2	Sample.7_Tr_3	Sample.8_Tr_1	Sample.8_Tr_2	Sample.8_Tr_3	Sample.9_Tr_1	Sample.9_Tr_2	Sample.9_Tr_3
CON__P00761	CON__P00761		29.0894965082745	28.9286068794568	28.8996881288901	29.2196271541405	28.9826959229156	25.4619514953604	28.807717121188	29.3590071330393	29.3975226335845	28.8132026020109	28.867264032356	25.8479735549438	28.9323573275182	28.7629391572917	28.9591705176608	29.2611855403683	26.1551455751279	29.4558752028798	29.0914399061026	25.8718058080707	28.9382873553211	28.8349383029746	28.8886996386637	28.7243913930227	28.7601811119423	26.9107936742026	28.8913387245356
CON__P01966	CON__P01966		21.9816871224658	NA	NA	NA	NA	NA	NA	22.6749973651701	NA	NA	NA	NA	NA	NA	NA	24.8989677682488	23.971408833856	24.3735831348841	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P02768ups|ALBU_HUMAN_UPS;CON__P02768-1;CON__P02769	sp|P02768ups|ALBU_HUMAN_UPS;CON__P02768-1	sp|P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human);	26.8765441122497	26.3142012412367	26.3559196456723	NA	NA	NA	27.7500229276288	28.0112133474259	27.4109446604858	22.7347129274565	23.4413910690023	22.9269264511042	NA	NA	NA	29.021654517277	29.0941613074128	29.2317151791026	24.231106308897	24.5443928453998	24.9280477073661	NA	NA	19.6715894395276	NA	NA	20.4509091769802
CON__P04264	CON__P04264		20.7368610249249	NA	NA	NA	NA	NA	NA	NA	NA	20.9299807313081	NA	NA	NA	NA	NA	24.7729379238396	24.0442687020735	23.7021862159804	NA	NA	NA	NA	NA	21.4320137278771	NA	21.0509247463639	20.9991384536873
CON__P07477	CON__P07477		NA	22.9426705620657	NA	NA	23.3361992535418	NA	22.8913572680545	NA	NA	NA	23.0817545264863	NA	22.2585947862948	NA	NA	23.5920637012127	NA	23.5863477862837	NA	23.3679969573767	22.9696535166411	NA	23.0462687417297	22.7180812942956	NA	NA	NA
CON__P13645;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;CON__A2A4G1;CON__Q7Z3Y9;CON__Q9Z2K1;CON__P02533;CON__P08779;CON__Q3ZAW8	CON__P13645;CON__P02535-1	;	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.1351143021957	24.3842957750497	24.0787124265172	NA	NA	NA	NA	NA	NA	NA	NA	NA
CON__P35900	CON__P35900		NA	23.6854939540523	25.2582856679086	24.0269022914941	23.9534924078789	23.9171600759866	25.3941117398546	24.1844231952756	NA	23.6504233402429	NA	NA	NA	23.6156018002826	23.6003684781558	NA	24.7077252095402	24.8707951470524	NA	NA	NA	NA	NA	24.071610968372	24.1728748874591	NA	25.5497191097467
CON__Q2KIS7	CON__Q2KIS7		22.0751579043259	NA	NA	NA	NA	NA	21.0624335611607	22.8239013033512	22.4510853133232	NA	NA	NA	NA	NA	NA	24.4111225104975	24.343740376386	24.2326440121695	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|P18759|SEC18_YEAST	REV__sp|P18759|SEC18_YEAST	sp|P18759|SEC18_YEAST Vesicular-fusion protein SEC18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC18 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.7479634784933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
REV__sp|P31379|LDS1_YEAST	REV__sp|P31379|LDS1_YEAST	sp|P31379|LDS1_YEAST Outer spore wall protein LDS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LDS1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7849055746642	NA	NA
REV__sp|P32600|TOR2_YEAST	REV__sp|P32600|TOR2_YEAST	sp|P32600|TOR2_YEAST Serine/threonine-protein kinase TOR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOR2 PE=1 SV=3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5424103430686	NA	NA	NA	NA	20.8629490635892	25.1855956415334	NA
REV__sp|P34110|VPS35_YEAST	REV__sp|P34110|VPS35_YEAST	sp|P34110|VPS35_YEAST Vacuolar protein sorting-associated protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS35 PE=1 SV=2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3263570661428	23.1577687980224	NA	NA	NA
REV__sp|P40356|MED3_YEAST	REV__sp|P40356|MED3_YEAST	sp|P40356|MED3_YEAST Mediator of RNA polymerase II transcription subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGD1 PE=1 SV=2	NA	22.3635658591649	NA	22.7993069210869	22.4920878908685	NA	22.1891826993737	NA	NA	NA	NA	NA	22.5043612465826	NA	23.5575403606851	NA	NA	NA	NA	NA	22.3482462015632	22.5140523153514	22.5495722391644	22.5304339619694	NA	NA	22.4577375646688
