raw_file	exp_condition
UPS1_125amol_R2.raw	125amol
UPS1_2500amol_R2.raw	2500amol
UPS1_50000amol_R2.raw	50000amol
UPS1_500amol_R2.raw	500amol
UPS1_12500amol_R1.raw	12500amol
UPS1_125amol_R3.raw	125amol
UPS1_2500amol_R3.raw	2500amol
UPS1_50000amol_R3.raw	50000amol
UPS1_500amol_R3.raw	500amol
UPS1_25000amol_R1.raw	25000amol
UPS1_250amol_R1.raw	250amol
UPS1_5000amol_R1.raw	5000amol
UPS1_50amol_R1.raw	50amol
UPS1_12500amol_R2.raw	12500amol
UPS1_25000amol_R2.raw	25000amol
UPS1_250amol_R2.raw	250amol
UPS1_5000amol_R2.raw	5000amol
UPS1_50amol_R2.raw	50amol
UPS1_12500amol_R3.raw	12500amol
UPS1_25000amol_R3.raw	25000amol
UPS1_250amol_R3.raw	250amol
UPS1_5000amol_R3.raw	5000amol
UPS1_50amol_R3.raw	50amol
UPS1_125amol_R1.raw	125amol
UPS1_2500amol_R1.raw	2500amol
UPS1_50000amol_R1.raw	50000amol
UPS1_500amol_R1.raw	500amol
